clid	venue	lon	lat	cat	user	year	doy	dow	hour	txt
5	Pittsburgh Heritage Trail	-80.0157	40.4467	NA	jonathanbeddall	2014	104	1	14	I'm at Pittsburgh Heritage Trail (Pittsburgh, PA)
5	Lst 325	-80.0146	40.4447	NA	kjv89	2015	249	0	18	Just posted a photo Lst 325
5	Heinz Field Pittsburgh Steelers	-80.0160	40.4475	NA	diyaajale	2015	284	0	15	Just posted a photo Heinz Field Pittsburgh Steelers
5	Heintz Field-Pittsburgh	-80.0085	40.4474	NA	Teylore	2015	274	4	23	Just posted a photo Heintz Field-Pittsburgh
5	Heintz Field-Pittsburgh	-80.0085	40.4474	NA	Teylore	2015	274	4	23	Just posted a photo Heintz Field-Pittsburgh
5	promise im not naked	-80.0134	40.4452	NA	elizsmiz	2015	157	6	23	Just posted a photo promise im not naked
5	Miniature Railroad & Village	-80.0184	40.4460	NA	Charizardi	2014	344	3	15	Just posted a photo Miniature Railroad &amp; Village
5	Miniature Railroad & Village	-80.0184	40.4460	NA	Charizardi	2014	344	3	15	Just posted a photo Miniature Railroad &amp; Village
5	& Eatery	-80.0106	40.4458	NA	migahaaz	2014	26	0	18	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	mwg357	2014	86	4	20	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	ashley03242	2014	100	4	23	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	mandles713	2014	109	6	16	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	triARam	2014	157	5	22	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	corporatmaster	2014	158	6	16	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	blong85	2014	160	1	21	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	jcolem47	2014	180	0	1	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	BAVars914	2014	185	5	18	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	MoxieMils	2014	201	0	0	I'm at &amp; Eatery w/
5	& Eatery	-80.0106	40.4458	NA	phurls61	2014	202	1	23	I'm at &amp; Eatery (Pittsburgh, PA)
5	& Eatery	-80.0106	40.4458	NA	sethhoova	2014	219	4	20	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	ChristiKusic	2014	275	4	0	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	jlppimb	2014	306	0	21	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	Bluesbrotha	2014	306	0	22	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	bcollin4	2014	325	5	22	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	sebastiancs	2014	339	5	23	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	mike8120	2015	178	6	22	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	NerdasaurusJess	2015	199	6	3	I'm at &amp; Eatery in Pittsburgh, PA w/
5	& Eatery	-80.0106	40.4458	NA	lostmethod1	2015	207	0	3	I'm at &amp; Eatery in Pittsburgh, PA
5	& Eatery	-80.0106	40.4458	NA	acetwo2k5	2015	207	0	3	I'm at &amp; Eatery in Pittsburgh, PA w/
5	& Eatery	-80.0106	40.4458	NA	Silent_Jon	2015	240	5	23	I'm at &amp; Eatery in Pittsburgh, PA
5	Century 3 Mall	-80.0156	40.4463	NA	cerebral2979	2014	180	0	12	Just posted a photo Century 3 Mall
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	42	2	19	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	50	3	16	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	58	4	17	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	70	2	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	71	3	19	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	72	4	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	77	2	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	78	3	17	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	79	4	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	83	1	22	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	86	4	13	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	91	2	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	95	6	16	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	100	4	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	105	2	15	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	CCAC Allegheny Campus	-80.0134	40.4497	NA	philsy28	2014	111	1	21	I'm at CCAC Allegheny Campus (Pittsburgh, PA)
5	Steelers Heinz Stadium	-80.0128	40.4455	NA	mackskyy	2015	235	0	21	Just posted a photo Steelers Heinz Stadium
5	Steelers Heinz Stadium	-80.0128	40.4455	NA	_halftree	2015	247	5	0	Just posted a photo Steelers Heinz Stadium
5	Hyde Park Steakhouse	-80.0085	40.4465	NA	coolc_412	2014	120	3	6	Just posted a photo Hyde Park Steakhouse
5	North Side T Station	-80.0136	40.4465	NA	ACEDAKIDD310	2014	214	6	17	I'm at North Side T Station in Pittsburgh, PA
5	ShalerHeinz Field	-80.0169	40.4477	NA	tfranc_04	2014	298	6	23	Just posted a photo ShalerHeinz Field
5	Heinz Field	-80.0159	40.4461	NA	Lou1EMT	2015	305	0	16	Just posted a photo Heinz Field
5	Heinz Field	-80.0159	40.4461	NA	wxrman	2015	305	0	17	Just posted a photo Heinz Field
5	Heinz Field	-80.0159	40.4461	NA	wxrman	2015	305	0	17	Just posted a photo Heinz Field
