,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
134,31,5.965,5.132,0.002,9,-2.115,0.000,0.000,10,4.956,3.540,1.221,7,0.003,0.005,0.001
135,23,-1.367,1.468,1.772,12,-4.022,0.000,0.000,6,2.543,1.221,0.000,1,-0.000,0.000,0.000
136,15,4.729,3.664,0.549,14,-3.968,0.000,0.000,12,-2.268,2.443,2.443,3,0.000,0.000,0.000
137,14,4.414,3.664,1.221,16,-5.517,0.000,0.000,15,3.901,2.992,0.000,1,-0.000,0.000,0.000
138,16,-5.284,1.221,2.443,13,-2.694,1.221,0.000,18,2.906,2.443,1.222,0,0.000,0.000,0.000
139,14,3.278,2.992,0.000,15,-0.820,0.000,0.000,8,0.089,0.000,1.221,1,-0.142,0.000,0.000
140,13,4.427,5.434,1.221,12,-0.772,1.221,0.000,14,3.439,2.443,0.000,5,0.096,0.000,0.000
141,23,-4.550,2.443,3.911,13,-2.024,0.000,0.000,14,-1.799,0.549,1.221,3,0.000,0.000,0.000
142,23,1.558,2.868,1.226,12,-0.965,1.221,0.000,9,-4.520,1.221,3.664,13,0.003,0.000,0.000
143,30,15.596,5.983,0.000,16,-2.769,0.000,0.000,10,1.921,1.222,0.000,11,2.047,1.221,0.000
144,26,9.366,7.877,2.443,15,-2.829,0.000,0.000,17,1.188,2.443,1.221,10,-0.000,0.000,0.000
145,27,8.041,6.354,2.443,11,-0.347,0.000,0.000,14,1.848,2.443,2.443,3,0.000,0.000,0.000
146,36,5.127,7.822,2.443,13,-1.854,0.000,0.000,14,-0.160,2.443,2.443,20,-0.945,0.000,0.000
147,31,1.039,5.132,6.107,9,-1.110,0.000,0.000,7,5.536,3.664,0.000,9,0.415,0.000,0.000
148,27,-1.420,3.540,3.540,15,-5.331,0.000,0.000,10,1.453,1.221,1.221,14,0.235,0.000,0.000
149,10,7.450,4.886,1.221,10,-1.582,0.000,0.000,7,4.129,2.443,0.000,9,-0.000,0.000,0.000
150,9,4.028,2.319,0.000,9,-2.868,0.000,0.000,9,3.082,1.770,0.000,5,0.000,0.000,0.000
151,0,0.000,0.000,0.000,7,-1.918,0.000,0.000,6,0.037,1.221,0.000,3,-0.000,0.000,0.000
152,1,1.427,1.221,0.000,13,-1.313,0.000,0.000,1,0.000,0.000,0.000,2,-0.000,0.000,0.000
153,1,0.645,0.549,0.000,11,-1.408,0.000,0.000,3,-0.142,0.000,0.000,0,0.000,0.000,0.000
154,1,1.483,1.221,0.000,13,-3.667,0.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
155,3,-1.738,0.000,1.221,10,-1.675,0.000,0.000,0,0.000,0.000,0.000,2,-0.000,0.000,0.000
156,8,3.153,0.549,0.000,12,-3.447,0.000,0.000,3,1.928,1.221,0.000,1,0.000,0.000,0.000
157,16,6.087,3.911,0.000,9,-0.337,1.221,0.000,13,1.669,0.332,0.000,0,0.000,0.000,0.000
158,19,4.344,2.992,2.443,11,-2.260,0.000,0.000,11,1.994,1.098,0.000,9,-0.000,0.000,0.000
159,14,5.605,6.107,1.770,18,-3.097,1.221,0.000,19,9.184,5.434,0.000,7,0.310,1.221,0.001
160,30,13.564,12.090,0.000,16,-5.291,0.000,0.000,25,-1.797,1.770,2.443,5,0.000,0.000,0.000
161,29,2.959,3.540,1.226,17,-1.857,1.221,0.000,22,-1.549,1.221,1.770,10,1.852,1.221,0.000
162,16,2.331,1.468,0.000,8,-1.917,0.000,0.000,26,8.025,6.656,1.221,4,-0.143,0.000,0.001
163,26,12.535,7.501,0.000,12,-5.464,0.000,1.221,18,0.555,0.549,0.000,4,0.369,0.000,0.000
164,29,6.256,5.434,0.005,13,-0.113,1.221,0.000,20,7.223,4.213,0.000,12,-0.284,0.000,0.000
165,23,2.666,4.213,4.213,14,-0.124,0.000,0.000,22,2.585,3.664,1.221,17,-0.286,0.000,0.001
166,28,9.042,6.656,2.992,13,-4.925,0.000,0.000,24,4.957,3.664,1.221,14,-0.142,0.000,0.000
167,27,9.768,7.328,2.443,14,0.065,1.221,0.000,28,12.670,7.575,1.770,4,0.007,0.005,0.000
