,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-05-04,93.977,59,28.797,17,74.016,48,45.467,32,74.884,43,12.427,6,33.132,16,9.710,6,5.868,5,3.893,2,5.573,4,13.258,9,8.614,6,4.282,2
2014-05-05,87.950,53,23.419,13,106.868,63,28.452,16,16.497,11,2.974,2,7.285,5,0.000,0,1.480,1,4.415,2,2.252,1,2.810,2,1.655,1,0.000,0
2014-05-06,61.791,39,35.195,22,15.221,9,18.212,12,38.756,27,15.561,11,16.837,13,6.108,5,6.706,4,1.044,1,2.860,2,3.118,2,2.260,2,1.294,1
2014-05-07,55.383,39,18.891,11,8.947,6,25.979,17,76.238,43,6.856,2,3.285,2,9.404,6,1.044,1,21.988,9,0.000,0,3.518,2,0.000,0,1.019,1
2014-05-08,52.179,36,30.879,21,44.687,26,20.305,13,3.403,3,2.952,2,10.044,7,9.750,7,1.619,1,2.921,2,5.305,4,6.183,5,0.000,0,5.954,4
2014-05-09,61.471,37,28.698,16,157.901,101,44.003,24,36.908,23,11.935,9,40.257,21,3.052,2,1.630,1,3.857,2,0.000,0,1.480,1,16.609,10,8.379,5
2014-05-10,57.235,38,18.250,11,42.563,30,19.324,11,69.920,48,20.547,15,19.642,14,5.048,4,7.736,5,15.589,10,6.906,4,8.744,7,11.731,8,6.505,5
2014-05-11,49.327,29,25.188,16,24.034,15,38.821,26,78.182,46,19.060,12,5.640,3,2.496,2,10.828,6,6.352,4,13.109,7,5.498,4,22.829,15,12.504,6
2014-05-12,51.523,33,21.329,16,10.682,7,36.749,20,72.315,45,5.973,4,5.595,4,4.886,3,4.060,2,5.327,4,1.727,1,3.238,2,8.954,6,1.301,1
2014-05-13,85.381,50,25.303,18,59.580,37,15.501,9,8.740,5,1.480,1,20.831,7,4.412,4,1.727,1,1.262,1,0.000,0,6.913,4,11.350,9,14.770,7
2014-05-14,53.691,35,37.506,24,51.683,33,33.369,21,5.669,4,14.431,9,2.578,2,1.680,1,3.320,2,2.362,2,1.044,1,3.971,3,6.789,3,9.404,5
2014-05-15,94.642,57,22.921,14,3.238,3,27.665,17,7.128,5,10.316,8,19.276,12,0.000,0,13.100,7,6.857,4,1.337,1,6.259,4,3.424,2,0.000,0
2014-05-16,66.825,39,31.520,19,2.885,2,28.608,16,8.959,7,10.875,8,12.826,9,2.446,2,3.232,2,7.671,5,6.856,2,4.054,2,0.000,0,0.000,0
2014-05-17,68.728,42,46.316,27,24.237,16,21.106,15,8.584,7,9.704,5,50.490,33,15.483,10,0.000,0,11.096,6,11.518,6,14.238,10,0.000,0,6.940,6
