name	hier	id
Bavarian Restaurant	\Food\German Restaurant\Bavarian Restaurant	56aa371ce4b08b9a8d573572
Bratwurst Joint	\Food\German Restaurant\Bratwurst Joint	56aa371ce4b08b9a8d57358e
Currywurst Joint	\Food\German Restaurant\Currywurst Joint	56aa371ce4b08b9a8d57358b
Franconian Restaurant	\Food\German Restaurant\Franconian Restaurant	56aa371ce4b08b9a8d573574
German Pop-Up Restaurant	\Food\German Restaurant\German Pop-Up Restaurant	56aa371ce4b08b9a8d573592
Palatine Restaurant	\Food\German Restaurant\Palatine Restaurant	56aa371ce4b08b9a8d573578
Rhenisch Restaurant	\Food\German Restaurant\Rhenisch Restaurant	56aa371ce4b08b9a8d57357b
Schnitzel Restaurant	\Food\German Restaurant\Schnitzel Restaurant	56aa371ce4b08b9a8d573587
Silesian Restaurant	\Food\German Restaurant\Silesian Restaurant	56aa371ce4b08b9a8d57357f
Swabian Restaurant	\Food\German Restaurant\Swabian Restaurant	56aa371ce4b08b9a8d573576
Gluten-free Restaurant	\Food\Gluten-free Restaurant	4c2cd86ed066bed06c3c5209
Greek Restaurant	\Food\Greek Restaurant	4bf58dd8d48988d10e941735
Bougatsa Shop	\Food\Greek Restaurant\Bougatsa Shop	53d6c1b0e4b02351e88a83e8
Cretan Restaurant	\Food\Greek Restaurant\Cretan Restaurant	53d6c1b0e4b02351e88a83e2
Fish Taverna	\Food\Greek Restaurant\Fish Taverna	53d6c1b0e4b02351e88a83d8
Grilled Meat Restaurant	\Food\Greek Restaurant\Grilled Meat Restaurant	53d6c1b0e4b02351e88a83d6
Kafenio	\Food\Greek Restaurant\Kafenio	53d6c1b0e4b02351e88a83e6
Magirio	\Food\Greek Restaurant\Magirio	53d6c1b0e4b02351e88a83e4
Meze Restaurant	\Food\Greek Restaurant\Meze Restaurant	53d6c1b0e4b02351e88a83da
Modern Greek Restaurant	\Food\Greek Restaurant\Modern Greek Restaurant	53d6c1b0e4b02351e88a83d4
Ouzeri	\Food\Greek Restaurant\Ouzeri	53d6c1b0e4b02351e88a83dc
Patsa Restaurant	\Food\Greek Restaurant\Patsa Restaurant	53d6c1b0e4b02351e88a83e0
Souvlaki Shop	\Food\Greek Restaurant\Souvlaki Shop	52e81612bcbc57f1066b79f3
Taverna	\Food\Greek Restaurant\Taverna	53d6c1b0e4b02351e88a83d2
Tsipouro Restaurant	\Food\Greek Restaurant\Tsipouro Restaurant	53d6c1b0e4b02351e88a83de
Halal Restaurant	\Food\Halal Restaurant	52e81612bcbc57f1066b79ff
Hawaiian Restaurant	\Food\Hawaiian Restaurant	52e81612bcbc57f1066b79fe
Hot Dog Joint	\Food\Hot Dog Joint	4bf58dd8d48988d16f941735
Hungarian Restaurant	\Food\Hungarian Restaurant	52e81612bcbc57f1066b79fa
Indian Restaurant	\Food\Indian Restaurant	4bf58dd8d48988d10f941735
Andhra Restaurant	\Food\Indian Restaurant\Andhra Restaurant	54135bf5e4b08f3d2429dfe5
