clid	venue	lon	lat	user	year	doy	dow	hour
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	127	3	11	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	126	2	11	0.000
0	Starbucks_10	-80.0000	40.4422	JannaMarie16	2014	121	4	11	0.000
0	Starbucks_10	-80.0000	40.4422	barbeecain	2015	193	0	23	0.000
0	Starbucks_10	-80.0000	40.4422	barbeecain	2015	193	0	23	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	141	4	12	0.000
0	Starbucks_10	-80.0000	40.4422	barbeecain	2015	193	0	23	0.000
13	Station Square Parking Garage	-80.0082	40.4350	barbeecain	2015	195	2	2	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	hazycinnamon	2014	91	2	21	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	IPhillyBoy2011	2014	113	3	19	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	kristy527	2014	124	0	13	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	krish9569	2014	75	0	22	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	hazycinnamon	2014	91	2	21	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	IPhillyBoy2011	2014	113	3	19	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	kristy527	2014	124	0	13	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	chadami	2014	122	5	21	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	chelseyhoughton	2014	103	0	22	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	timparenti	2014	103	0	16	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	krish9569	2014	75	0	22	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	EricGSkaggs	2014	25	6	23	0.000
2	City of Pittsburgh_1	-79.9906	40.4416	jordank66	2014	80	5	18	0.000
6	Little Bangkok	-79.9843	40.4508	IPhillyBoy2011	2014	43	3	17	0.000
18	Eden	-79.9347	40.4511	ryssiebee	2015	259	3	22	0.000
18	Eden	-79.9347	40.4511	topherol_	2014	132	1	23	0.000
18	Eden	-79.9347	40.4511	topherol_	2014	132	1	23	0.000
2	South Lot Parking CEC	-79.9904	40.4411	thehatemachine	2014	124	0	20	0.000
2	South Lot Parking CEC	-79.9904	40.4411	thehatemachine	2014	124	0	20	0.000
0	tk	-80.0019	40.4424	amolkold	2015	183	4	2	0.000
0	tk	-80.0019	40.4424	slainte48	2015	300	2	23	0.000
0	tk	-80.0019	40.4424	louisbohanon	2015	183	4	22	0.000
0	tk	-80.0019	40.4424	louisbohanon	2015	183	4	22	0.000
6	Cioppino	-79.9829	40.4540	mlenosh	2014	47	0	7	0.000
6	Cioppino	-79.9829	40.4540	angelblas17	2014	138	0	0	0.000
6	Cioppino	-79.9829	40.4540	BurghJacks	2014	79	4	23	0.000
6	Cioppino	-79.9829	40.4540	smjasmin	2015	154	3	3	0.000
6	Cioppino	-79.9829	40.4540	1502Cigars	2014	150	5	3	0.000
6	Cioppino	-79.9829	40.4540	Twism44	2015	74	0	2	0.000
6	Cioppino	-79.9829	40.4540	mlenosh	2014	47	0	7	0.000
6	Cioppino	-79.9829	40.4540	angelblas17	2014	138	0	0	0.000
6	Cioppino	-79.9829	40.4540	BurghJacks	2014	79	4	23	0.000
6	Cioppino	-79.9829	40.4540	nicolasajimenez	2014	218	3	0	0.000
6	Cioppino	-79.9829	40.4540	Liebow	2014	39	6	23	0.000
6	Cioppino	-79.9829	40.4540	nicolasajimenez	2014	218	3	0	0.000
6	Cioppino	-79.9829	40.4540	Liebow	2014	39	6	23	0.000
6	Cioppino	-79.9829	40.4540	Twism44	2015	74	0	2	0.000
6	Cioppino	-79.9829	40.4540	Twism44	2015	74	0	2	0.000
6	Cioppino	-79.9829	40.4540	1502Cigars	2014	150	5	3	0.000
6	Cioppino	-79.9829	40.4540	1502Cigars	2014	150	5	3	0.000
6	Cioppino	-79.9829	40.4540	1502Cigars	2014	150	5	3	0.000
6	Cioppino	-79.9829	40.4540	1502Cigars	2014	150	5	3	0.000
6	Cioppino	-79.9829	40.4540	Twism44	2015	74	0	2	0.000
6	Cioppino	-79.9829	40.4540	mlenosh	2014	47	0	7	0.000
6	Cioppino	-79.9829	40.4540	angelblas17	2014	138	0	0	0.000
6	Cioppino	-79.9829	40.4540	BurghJacks	2014	79	4	23	0.000
1	University of Pittsburgh Department of Chemistry	-79.9574	40.4460	pure_wings	2015	33	1	22	0.000
1	University of Pittsburgh Department of Chemistry	-79.9574	40.4460	pure_wings	2015	33	1	22	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	151	0	21	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	152	1	16	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	151	0	21	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	152	1	16	0.000
6	Leaf And Bean	-79.9820	40.4521	sethhoova	2014	354	6	19	0.000
6	Leaf And Bean	-79.9820	40.4521	Twism44	2015	242	0	16	0.000
6	Leaf And Bean	-79.9820	40.4521	timorlang	2014	52	5	19	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	151	0	21	0.000
6	Leaf And Bean	-79.9820	40.4521	1502Cigars	2015	152	1	16	0.000
6	Leaf And Bean	-79.9820	40.4521	BeerLibrarian	2014	190	3	20	0.000
6	Leaf And Bean	-79.9820	40.4521	AntonioCigars	2014	192	5	19	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	colindean	2014	315	2	0	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	clwatt3	2014	60	6	15	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	AbbyDinges	2014	68	0	18	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	autumnyeo	2014	142	4	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	mlenosh	2014	47	0	7	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	MacGirlie	2014	61	0	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	clwatt3	2014	214	6	18	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	chernysh	2014	123	6	19	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	BurghJacks	2015	127	4	16	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	badbrad002	2014	360	5	21	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	DBaker513	2014	65	4	19	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	dangreenwald	2014	186	6	14	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	BurghJacks	2015	127	4	16	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	HOPPERBOLIC	2015	277	0	21	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	HOPPERBOLIC	2015	277	0	21	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	nlourette	2015	142	5	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	PWATPittsburgh	2015	115	6	15	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	HOPPERBOLIC	2015	277	0	21	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	HOPPERBOLIC	2015	277	0	21	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	BurghJacks	2014	323	3	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	BurghJacks	2014	288	3	16	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	colindean	2014	315	2	0	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	clwatt3	2014	60	6	15	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	AbbyDinges	2014	68	0	18	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	autumnyeo	2014	142	4	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	mlenosh	2014	47	0	7	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	MacGirlie	2014	61	0	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	clwatt3	2014	60	6	15	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	colindean	2014	315	2	0	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	AbbyDinges	2014	68	0	18	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	autumnyeo	2014	142	4	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	mlenosh	2014	47	0	7	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	MacGirlie	2014	61	0	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	colindean	2014	315	2	0	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	clwatt3	2014	60	6	15	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	AbbyDinges	2014	68	0	18	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	autumnyeo	2014	142	4	17	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	mlenosh	2014	47	0	7	0.000
6	Pittsburgh Public Market	-79.9876	40.4501	MacGirlie	2014	61	0	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	206	5	23	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	209	1	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	211	3	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	214	6	12	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	215	0	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	223	1	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	233	4	21	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	241	5	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	273	2	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	245	2	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	248	5	11	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	277	6	12	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	278	0	16	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	299	0	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	350	2	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	71	3	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	112	2	16	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	223	1	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	206	5	23	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	209	1	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	211	3	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	214	6	12	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	215	0	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	233	4	21	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	241	5	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	273	2	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	245	2	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	248	5	11	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	277	6	12	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	278	0	16	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	299	0	14	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	350	2	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	71	3	15	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	112	2	16	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	55	1	20	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	105	2	11	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	120	3	16	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	121	4	17	0.000
18	Shadyside Garage	-79.9340	40.4515	gurujonah	2014	138	0	9	0.000
