clid	venue	lon	lat	user	year	doy	dow	hour
1	Meyran Ave	-79.9548	40.4375	gabby_ooyoah	2015	26	1	22	0.000
4	Hyde Park Steakhouse	-80.0085	40.4465	coolc_412	2014	120	3	6	0.000
4	Hyde Park Steakhouse	-80.0085	40.4465	coolc_412	2014	120	3	6	0.000
0	Wood Street	-79.9989	40.4429	LegacyAvenue	2015	27	2	0	0.000
0	Wood Street	-79.9989	40.4429	LegacyAvenue	2015	27	2	0	0.000
3	The Pub Chip Shop	-79.9794	40.4288	JoshLouie	2014	81	6	19	0.000
0	Pizza Parma	-79.9983	40.4437	DJTMI	2014	33	0	18	0.000
2	Consol Energy Center_2	-79.9902	40.4391	gracelaurell	2015	51	5	20	0.296
2	Consol Energy Center_2	-79.9902	40.4391	corey_tags	2015	50	4	0	0.296
0	Downtown Pittsburgh PA On 376 W	-79.9986	40.4368	PosdRotary	2015	299	1	17	0.000
0	Downtown Pittsburgh PA On 376 W	-79.9986	40.4368	robertegblack	2015	111	2	16	0.000
0	Downtown Pittsburgh PA On 376 W	-79.9986	40.4368	datdudechuck2	2015	112	3	16	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	BillPowell92	2015	45	6	0	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	ChrisMondi	2014	123	6	21	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	LeMIChar	2015	269	6	14	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	LeMIChar	2015	269	6	14	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	Snappbackkid	2014	273	2	17	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	Just_Sassy219	2014	60	6	1	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	SprolesLinda	2014	71	3	4	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	RulysFernadez	2014	159	0	0	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	Snappbackkid	2014	273	2	17	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	Just_Sassy219	2014	60	6	1	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	SprolesLinda	2014	71	3	4	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	BillPowell92	2015	45	6	0	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	ChrisMondi	2014	123	6	21	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	tmltml71_	2015	254	5	22	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	tmltml71_	2015	254	5	22	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	RulysFernadez	2014	159	0	0	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	TylerUlanowicz	2015	24	6	1	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	KemoBreezy	2014	116	6	23	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	TylerUlanowicz	2015	24	6	1	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	KemoBreezy	2014	116	6	23	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	TylerUlanowicz	2015	24	6	1	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	KemoBreezy	2014	116	6	23	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	LeMIChar	2015	269	6	14	0.000
0	David L. Lawrence Convention Center	-79.9965	40.4457	LeMIChar	2015	269	6	14	0.000
0	Ten Penny	-79.9958	40.4443	becsmccart	2014	181	1	0	0.000
0	Ten Penny	-79.9958	40.4443	becsmccart	2014	181	1	0	0.000
0	Ten Penny	-79.9958	40.4443	becsmccart	2014	181	1	0	0.000
0	Ten Penny	-79.9958	40.4443	EmeraldLeigh723	2015	234	6	5	0.000
3	Bobby Hendrix	-79.9768	40.4286	prager_sara	2014	306	0	6	0.000
12	CrossFit Athletics	-79.9670	40.4261	AynMcGraw	2014	97	1	0	0.000
5	Heinz Feild	-80.0151	40.4475	01sweetworld	2015	182	3	6	0.000
5	Heinz Feild	-80.0151	40.4475	01sweetworld	2015	182	3	6	0.000
5	Heinz Field_2	-80.0159	40.4461	Lou1EMT	2015	305	0	16	0.000
5	Heinz Field_2	-80.0159	40.4461	wxrman	2015	305	0	17	0.000
5	Heinz Field_2	-80.0159	40.4461	wxrman	2015	305	0	17	0.000
5	Heinz Field_2	-80.0159	40.4461	wxrman	2015	305	0	17	0.000
5	Heinz Field_2	-80.0159	40.4461	Camden_Seybert	2015	305	0	23	0.000
5	Heinz Field_2	-80.0159	40.4461	Chiusy	2015	306	1	23	0.000
3	Double Wide Grill	-79.9712	40.4284	Cas_lyn	2014	205	4	23	0.000
3	Double Wide Grill	-79.9712	40.4284	tombilcze	2014	144	6	18	0.000
3	Double Wide Grill	-79.9712	40.4284	mstevesmithjr	2014	362	0	16	0.000
22	New Hazlett Theater	-80.0048	40.4530	neshacom1	2015	275	5	12	0.000
0	21st Street Coffee and Tea	-80.0008	40.4411	21streetcoffee	2014	44	4	14	0.000
1	Carlow University	-79.9633	40.4386	idfkels	2015	278	1	22	0.000
1	Carlow University	-79.9633	40.4386	idfkels	2015	278	1	22	0.000
1	Carlow University	-79.9633	40.4386	idfkels	2015	278	1	22	0.000
0	Meat & Potatoes	-80.0006	40.4433	JoshLouie	2015	52	6	17	0.000
1	61B	-79.9507	40.4404	Moss412	2014	25	6	17	0.000
