how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
112,3.57143,0.42857,0.07143,0.57143,0.35714,0.28571,0.64286,0.28571,0.00000,0.07143,0.00000,0.42857,0.14286,1.07143
113,1.55000,0.25000,0.05000,0.55000,0.30000,0.45000,0.85000,0.10000,0.00000,0.15000,0.10000,0.00000,0.00000,0.45000
114,1.85714,0.25000,0.10714,0.21429,0.25000,0.10714,0.10714,0.03571,0.00000,0.14286,0.03571,0.14286,0.10714,0.57143
115,1.00000,0.47368,0.10526,0.00000,0.47368,0.21053,0.63158,0.00000,0.00000,0.05263,0.00000,0.10526,0.00000,0.52632
116,1.29412,0.11765,0.00000,0.58824,0.41176,0.94118,0.00000,0.00000,0.00000,0.05882,0.00000,0.11765,0.00000,1.05882
117,2.13636,0.09091,0.18182,0.72727,0.18182,0.04545,0.09091,0.09091,0.00000,0.13636,0.09091,0.04545,0.09091,0.68182
118,1.20833,0.25000,0.08333,0.58333,0.12500,0.16667,0.20833,0.00000,0.04167,0.16667,0.08333,0.20833,0.20833,0.87500
119,0.76923,0.35897,0.07692,0.43590,0.12821,0.17949,0.20513,0.05128,0.00000,0.20513,0.02564,0.07692,0.10256,0.35897
120,0.82979,0.17021,0.04255,0.19149,0.04255,0.00000,0.04255,0.00000,0.00000,0.06383,0.06383,0.04255,0.00000,0.19149
121,0.48276,0.06897,0.10345,0.62069,0.24138,0.00000,0.06897,0.00000,0.00000,0.27586,0.03448,0.03448,0.00000,0.10345
122,0.35294,0.05882,0.00000,0.17647,0.02941,0.00000,0.08824,0.05882,0.00000,0.02941,0.00000,0.05882,0.00000,0.23529
123,0.62500,0.08333,0.00000,0.33333,0.00000,0.12500,0.50000,0.00000,0.00000,0.08333,0.00000,0.00000,0.00000,0.33333
124,0.47059,0.05882,0.00000,0.29412,0.00000,0.00000,0.00000,0.00000,0.00000,0.05882,0.05882,0.11765,0.00000,0.11765
125,0.85714,0.00000,0.00000,0.28571,0.00000,0.00000,0.42857,0.00000,0.00000,0.00000,0.00000,2.28571,0.00000,0.00000
126,2.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
127,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
128,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
129,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
130,2.00000,0.00000,1.00000,0.00000,2.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
131,1.75000,1.25000,0.50000,1.25000,0.75000,0.50000,0.25000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,3.25000
132,4.57143,0.71429,0.57143,0.14286,0.85714,0.71429,0.28571,0.00000,0.00000,0.00000,0.00000,0.28571,0.00000,1.14286
133,2.73333,0.06667,0.06667,0.00000,0.46667,0.53333,0.53333,0.00000,0.00000,0.00000,0.00000,0.06667,0.00000,0.60000
