venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Kennywood Park_1	-79.8647	40.3871	amyrcola	2015	304	6	5	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	DDSchumacher	2015	156	5	17	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	Xo_Tina14	2015	160	2	23	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	MmmBrowny	2014	207	6	19	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	Im_A_Witness	2015	175	3	15	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	emily4732	2015	226	5	22	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	shayla_shullo	2015	249	0	21	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	emily4732	2015	226	5	22	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	DoriIsRad	2015	144	0	16	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	ryleygill	2015	145	1	15	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	maddixbutina	2015	225	4	3	0.000	Just posted a photo Kennywood Park
Kennywood Park_1	-79.8647	40.3871	lionstephrose	2015	225	4	4	0.000	Just posted a photo Kennywood Park
