,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
266,3,0.284,0,0,13,-1.570,0,0,12,4.667,3,0,0,0.000,0,0
267,3,0.952,1,0,10,1.735,2,0,23,-2.220,1,0,0,0.000,0,0
268,3,1.835,1,0,15,0.314,0,0,23,0.375,2,1,0,0.000,0,0
269,3,-1.023,1,1,9,-0.652,0,0,29,10.585,8,0,0,0.000,0,0
270,8,5.792,3,0,12,-4.440,0,0,28,12.799,10,1,0,0.000,0,0
271,5,1.803,1,1,10,-4.745,0,0,24,5.633,4,1,0,0.000,0,0
272,1,-0.142,0,0,16,-7.169,0,0,17,0.832,2,0,0,0.000,0,0
273,11,0.829,2,0,12,-2.731,0,0,27,-0.172,3,3,0,0.000,0,0
274,32,-6.562,4,6,12,-5.290,0,0,27,8.211,6,1,0,0.000,0,0
275,29,-3.800,4,5,18,-4.895,0,0,22,4.579,4,1,0,0.000,0,0
276,22,-7.811,2,6,10,-2.544,0,0,37,11.447,7,1,0,0.000,0,0
277,5,2.197,2,1,19,-8.485,0,0,24,-0.035,2,1,0,0.000,0,0
278,6,1.300,1,0,19,-0.980,1,0,34,6.741,6,2,0,0.000,0,0
279,5,1.008,0,0,9,1.886,0,0,13,10.098,5,0,0,0.000,0,0
280,10,4.619,5,1,12,-2.790,0,0,20,-0.358,3,3,0,0.000,0,0
281,4,-1.815,0,1,12,-3.737,0,0,29,17.370,9,1,1,-3.274,0,1
282,4,1.956,1,0,15,-4.094,0,0,15,-1.904,0,1,1,-0.142,0,0
283,8,-2.672,1,1,13,-2.020,1,0,24,13.838,6,0,0,0.000,0,0
284,14,0.568,1,0,16,-2.689,0,0,34,1.246,5,3,0,0.000,0,0
285,6,3.224,3,1,15,1.470,0,0,24,3.662,3,1,0,0.000,0,0
286,2,-2.419,0,1,5,-2.312,0,0,6,1.643,1,0,0,0.000,0,0
287,13,-3.266,2,3,10,-2.629,0,0,4,3.050,2,0,0,0.000,0,0
288,7,4.356,3,0,2,-0.916,0,0,0,0.000,0,0,0,0.000,0,0
289,6,0.043,0,0,5,-1.467,0,0,7,0.418,0,1,0,0.000,0,0
290,27,-0.858,3,2,14,-3.707,1,0,11,7.298,2,0,0,0.000,0,0
291,6,2.283,1,1,14,-4.542,1,1,11,-1.858,0,1,0,0.000,0,0
292,1,-0.142,0,0,7,-0.896,0,0,5,2.578,2,0,0,0.000,0,0
293,5,1.864,1,0,5,-1.106,0,0,5,0.880,0,0,0,0.000,0,0
294,8,-4.694,0,2,8,-1.759,0,0,10,-0.419,0,0,1,-0.142,0,0
295,4,-2.291,0,1,12,-4.085,0,0,11,5.972,3,0,0,0.000,0,0
296,12,-1.208,1,1,8,-1.361,0,0,11,1.775,3,2,0,0.000,0,0
297,6,-0.157,1,1,4,-0.268,0,0,10,-4.823,0,3,0,0.000,0,0
298,12,4.143,2,0,20,-5.862,0,1,36,8.554,10,3,6,-1.083,1,2
299,17,10.525,5,1,20,-0.300,0,0,20,-1.074,2,3,0,0.000,0,0
300,4,1.977,1,0,17,-2.698,0,0,18,0.403,1,1,0,0.000,0,0
301,5,0.550,1,0,17,-5.674,1,0,14,-4.091,0,2,0,0.000,0,0
302,8,-4.685,0,2,18,-6.683,0,0,20,7.591,5,0,3,2.454,2,0
303,8,-0.456,1,1,15,-3.617,0,0,26,6.027,4,1,6,-4.010,0,3
