,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
98,308,6.361,19.007,11.032,375,-27.985,26.097,28.785,222,3.801,18.527,13.054,179,25.643,27.143,13.014,189,0.557,19.374,16.922,49,0.257,4.368,2.000,71,-0.576,2.003,3.604,40,3.776,6.000,1.000
99,259,-1.560,9.812,10.000,337,-12.157,17.025,20.398,159,5.569,16.136,10.751,155,4.273,15.021,11.782,123,14.790,14.878,8.185,22,2.095,2.368,1.000,58,-8.990,0.693,5.580,23,0.549,1.135,1.000
100,209,12.605,13.503,3.142,270,-18.333,15.716,21.878,182,1.066,12.150,8.437,87,7.762,11.448,3.529,56,5.409,3.000,2.000,18,5.411,5.000,0.000,32,3.335,4.001,1.004,13,-2.572,0.000,1.000
101,148,2.101,5.622,3.555,177,5.129,14.549,7.534,109,12.982,10.789,3.000,73,4.946,6.241,4.890,24,3.134,1.050,0.000,10,2.532,2.000,0.000,26,4.556,2.005,0.014,5,-0.710,0.000,0.000
102,100,-7.818,4.002,6.050,98,-5.959,6.386,8.871,63,2.946,5.005,3.370,33,-4.341,2.000,4.000,12,-0.240,0.368,0.000,5,-0.142,0.000,0.000,26,-0.478,0.002,0.030,3,-0.426,0.000,0.000
103,68,0.173,1.000,0.000,59,-2.556,3.443,3.135,33,0.164,2.000,1.375,17,-6.614,0.368,2.000,8,0.927,0.000,0.000,0,0.000,0.000,0.000,16,-1.215,1.000,2.202,4,1.268,1.000,0.000
104,65,-3.422,1.018,0.057,25,-3.709,2.000,2.000,17,-3.449,0.008,2.018,7,1.522,1.000,0.000,6,-2.042,0.000,1.000,3,0.000,0.000,0.000,3,0.127,0.000,0.000,2,-1.535,0.368,1.000
105,58,-3.823,0.135,1.050,12,0.169,1.000,1.000,15,-0.744,0.050,0.000,6,-2.021,0.000,0.368,4,-0.000,0.000,0.000,1,1.960,1.000,0.000,8,-7.710,0.000,2.000,2,2.087,2.000,0.000
106,76,-4.547,1.000,1.000,27,1.735,1.000,1.000,8,2.273,1.000,0.000,7,-0.360,0.000,0.000,4,1.193,1.000,0.000,16,-0.142,0.000,0.000,9,-2.203,1.000,1.549,6,2.084,1.000,0.000
107,158,-8.080,6.303,10.135,44,3.329,4.000,2.000,36,2.048,2.135,2.050,18,0.371,1.007,0.000,14,-0.981,0.003,1.000,19,-0.146,0.000,0.000,31,4.006,3.050,1.020,14,-0.168,1.050,0.000
108,277,-0.578,13.292,13.211,98,-3.935,8.503,8.057,35,3.575,4.386,1.000,36,-4.052,3.000,4.000,19,-0.706,2.000,2.368,25,0.785,1.000,1.000,26,-0.577,3.068,1.000,10,0.241,1.050,0.000
109,331,29.480,26.220,8.402,167,-7.881,8.087,14.001,60,2.298,3.396,1.000,56,-0.564,2.774,2.051,35,7.271,3.368,0.000,43,3.033,4.368,1.000,31,6.500,2.154,0.000,18,0.703,2.000,1.000
